,reviews
86,"I was a fraud victim not once but 3x with TD! the 10$ that was taken out from my bank was not returned by TD, the 3rd time since they advised to go to the bank to get another card which I only did less than a month ago, did fraud alerts with my new card (nothing happened) very poor security system!and I have bills coming the next day and I cannot go to the bank the next day,was taken out of my account and unfortunately I can no longer access my online banking,phoned contact center and waited for 2hrs while I am working!how nuissance!and was just told that i was informed to go to the bank immediately?what the heck?! very inconvenient, I am busy person working night shift as health care aide and had to sleep in the morning since another job by the afternoon,and only asking for that I hope I will not get charged of the NSF since I cannot deposit money from my other bank to TD!because I have to go personally to the bank, I need to get it to my schedule too! such a hassle! and take note money was taken out from my account and had to wait for 3-5business day to get back my money,and I have to deposit the difference of it and all I want  is for them not to charge with the NSF,since bottomline it is not my fault why they have to deactivate my online banking because of their poor security system!"
87,"I am very upset and i am going to take this to the top, I went to this location today @ 2:03PM i made a deposit into the TD ATM, no i am not a banker with TD bank how ever i used TD bank ATM machine, only to find out by my bank that i used the wrong ATM, i asked an employee there how to resolve the situation, first of all they are the rudest customer service folks i have ever  encountered in my life.  They did not help me one bit afetr given me the run around i call their customer service and was told that even thoe i am not a banker that they can run the ATM records and see the extra $$.  I went back to the bank and spoke to a Rebeca Baez who advised me that she was the manager and that i should call my bank, i let her know that if i used the wrong ATM my bank wont be able to see any deposit and they cant help me because on their end its not showing any deposit.   Then she told me that the ATM inside the bank is a third party ATM and they cant help me.  The ATM machine clearly says TD bank, i asked for the information to contact the third party ATM she told me that she can't help me, i asked for TD corporate office information she told me that they dont have a corporate office.  I am beyond pissed of i am talking about a $500.00 deposit not a $20 deposit.  During this time of covid19 we don't have money to throw away, i lost my job and just received my first unemployment check in the mail and decided to save the rest on my card.  I need some answers from someone anyone how do i get my money back.  These folks at this location is the worst OMG  i am not going to stop until i get my money back. and all of the employees inside of this location was just laughing at me as if this is a funny situation not cool at all"
88,"First let me start by saying I am not one to write a bad review about a company, but enough is enough. I'm not even going to start to mention anything regarding their low quality service and high service charges. My frustration with TD is regarding my application for the CERB financial relief loan which was declined even though I was completely qualified for it !!! They never provided me with any feedback to why it was declined, or what other documents was required by me to get approved. What's even more frustrating is that I know so many people that were not even eligible for the financial relief loan and they were approved within a matter of days. None of them have faced any repercussions. They have taken the funds and has largely improved their circumstances. I NEED that loan because I have so many projects offered to me but I have no funds to start. I need to pay for labor, equipment rental, materials and supplies. Even the 20% upfront payment by my clients won't help me to start my projects. Basically if I don't get the loan ..... I lose my business that I have worked so hard to start. Even when speaking to friends and family that bank with other financial institutions, none of them that applied for the loan where declined.  Banks back in the day were established to help out communities by providing small businesses with loans or lines of credit so businesses can grow and prosper. Today banks... especially TD are in the business of destroying people's lives and future.  They are a very dangerous and horrible bank to do business with. Take my advice and bank with any other banking institution, just don't bank with TD !!!! CIBC here I come.  God bless 🙏"
89,"I received a very vague email demanding I carry out certain complex procedures with limited information. I wanted to check it wasn't a scam and ask for more information.No one answers the customer service line - they literally just don't pick up. If you accept the option to leave a voicemail it just hangs up on you.I would close my account, but the above issue relates to an account I thought I had already closed!"
90,Avoid this bank as much as you can. They are deducting a lot of money with out any reason. Specially please follow your credit card.
91,I can't beleive I got covid from this bank such in safe safety measures like I can't beleive this what kinda people you for working here
92,WITHOUT PREJUDICE I WOULD LIKE THE CUSTOMER SERVICE AGENTS TO SPEAK ENGLISH
93,"I've had a small business account at TD for years.  Over the last few years I've noticed a deterioration in their overall service.  the worst being recently when I went to see a teller to SPECIFICALLY enable e-transfer on my access card.  Due to their screw up I had to go to the bank 3 times just to get it working.  When I contacted customer service after my card was unusable to make a payment (this was after my second bank trip) I was told by the rep that the tellers may may not have known which boxes to tick off on their screens when setting up the e-transfer and that it was my fault for not reading up more thoroughly on e-transfer so I could direct them better.  I asked him, why it was up to me to do the teller's job for them,  I don't work in a bank, its their job to set up the service I request and ask the necessary questions.   He eventually agreed with me and advised I complain to the branch manager. I suspect however that the incompetence lies further up the chain.  I've never experienced such gross stupidity. Changing banks."
94,"I wish there was a zero star option. Horrendous TD Canada trust customer service. Closed my credit card almost 4 months ago by paying everything in full. Customer service representative told me the balance included everything all the way down to pending transactions, interest on those transactions etc. Paid everything in full. Received a call 6 weeks later notifying me there's about $20 left in balance. Customer service representative apologizes saying that the previous representative made a mistake. And this is the final payment and nothing after this. 3 months later after the second payment, I mean 3 months later, I check my statement and there's money taken out to pay my ""credit card"". Called the customer service, told that my account is in collections department for unpaid balance. They took portion of the remaining balance out of my chequeing account to have the remaining amount still lingering around without letting me know!Called the collections department, the service representative was super rude and condescending. Asks me if I knew what balance and interest meant. Told me to call credit card customer service again. Called them back (3rd call), after long waiting, finally someone named Derek was on phone. He was the only guy who was able to help me out and closing my account (hopefully for good this time). He was polite and apologetic for previous representatives making mistakes. It's been four months and long phone calls and in still dealing with this. So happy I closed my credit card with them and will be moving everything out of this bank soon as I can."
95,"I agree with all the people who say TD has horrendous customer service. I went to the branch at 13318 50 STREET in Edmonton. A lot of us lined up outside only to be told we needed to register on their app to reserve a spot (when we can just line up at the branch downtown). When I got a text with the name of an employee to talk to, another employee inside the branch told me to stand in line instead. When I got to the counter, Norma couldn't answer my question about the endorsement on the back of the cheque. She also didn't know that my question was about standard banking procedure common to all banks and kept telling me to ask the bank that had issued the cheque. When I asked to talk to someone who could answer my question, she again told me to ask the bank that issued the cheque. (I'll have to do an internet search for the answer.) After I left the branch, I got another text saying that another employee was ready to see me. I texted back that I had already left, but the app didn't accept texts.When I opened my account at the downtown branch, the employee kept asking me how much money I had to transfer over from another bank. It's also staffed almost completely with ""customer service"" employees who usually can't answer your question and immigrants who don't understand English. Sadly, this is common for all banks now. They ask for ""customer service"" and ""sales"" experience in their job ads instead of banking knowledge."
96,"Recently retired, bank client for 25 years. Substantial investments in TD thru Direct Investing.Looking for unsecured line of credit to consolidate some small debt & received a ridiculous quote ..... especially when considering prime rate is 2.45.Very dissappointed. Rep said he wasnt able to do anything re the rate.Wasted about 1 1/2 hours.Looking to move all my business & investments elsewhere.Here to help with covid just a tagline."
97,"The absolute worst bank in the world. Terribly uneducated customer service staff, and so many hidden fees. Don't bother."
98,Be careful if you receive an offer in the mail to open a checking account with a $300 cash bonus.  They will renege on the offer.  Terrible customer service.
99,Terrible customer service. I am attempting to port my existing mortgage and my representative who is unavailable and will not get back to me. She said I was approved and I removed conditions. And now it’s sounding like a maybe. But I don’t know anything because she won’t confirm or communicate. And I am made to feel bad because I am asking questions on fees etc. Apparently you are supposed to sign blindly. Don’t use a mobile mortgage specialist. They can’t be bothered.
100,I am an investor with TD Waterhouse and use the online site every day. These outages are driving me crazy. This Bank has lost me money because the site was down and is down once again during a very busy trading session. Will be searching for a class action to put in a claim.
101,"First lost 60$ because their atm machine broke and couldn’t count my cash properly. It asked me to manually put how much money I inserted. After I did it deposited money falto my account, but in a week there was a -60 correction charge. After an hour of phone hold and a week of waiting a claim to resolve they did resolve it. In their own favor. They simply said “the error didn’t occur”, even thou it did. After that they introduce 3% fees on foreign transactions. These updates were not properly delivered, and I was charged extra 100 dollars on my recent purchases from international websites. The worst worst terrible bank. I had much more issues with them, but these two were extremely crazy since they just stole my money."
102,Worst bank ever more than an hour in drive thru. No one answers the phone. You have to give yourself a good hour and 1/2 to make one transaction.
103,"The worst service ever we had today at 608 Fanshawe Park Rd E, London, ON N5X 1L1, people are waiting in the hot sun for 3 to 4 hours in line to go to the teller, to take our money. The staff working at these locations don't have any knowledge of how to handle the situation,  very poor management, for the past 4 months most of the locations closed. WHY OUR MONEY STUCK LIKE THIS ?"
104,"This is the worst bank I have ever been a customer of. Their hold times exceed 1 hour each and every time I talk with anyone. They constantly will hand the phone call over to another department on their team which increases the hold time. I just finished waiting on hold for 2:24 minutes which is considerably short compared to the other times I have waited on hold. The calls continuously will disconnect and no one calls you back knowing your phone number as it is on your profile. They can't seem to figure out simple requests like transfering funds from one account to the next; even though they have a cross border team that directly handles these matters. They do not know what they are doing and I will NEVER be a customer with them again. Poor customer service. They also only have a few US banks across the United States. BEWARE setting up an account with them if you do not reside in these states. Once they close your account, its next to impossible to have them transfer your funds to you without directly going into the bank. Horrible experience."
105,The fees are very high if you don’t keep at least 5g in an account that earns zero interest.Their exchange rates are often a few cents lower than you can get elsewhere.Overall: pass on this financial institution if you aren’t being robbed by them already.
106,"Extremely poor service and ti be honest criminal with there overdrafts. Let me explain, if you deposit money or checks they hold the deposits , and that's understandable, but when a payment comes out, it post automatically. Meaning like now I made a deposit 3 days ago and it is still on hold or pending but the payment for my insurance posted right away. Meaning due to the pending deposit my payment will overdraft and I will be charged $35. The thing is, and I did a little experiment. Last week I deposited money the same way as I did the deposit that is pending now. Now eventhough it was the exact same amount and I deposited it the exact same way, the deposit last week was posted one day after I deposited it. So why isn't the deposit from three days ago ,that was deposited the same way, being held or pending for three days and still pending. My conclusion is they know my insurance comes out the same time every month , so It is obvious that they hold or keep deposits pending simply to make a quick $35. If I'm wrong then explain why two deposits done the exact same way for the exact same amount is posted within a day last week while the other gets held for three to four days when you have a payment coming due. PRETTY CONVENIANT FOR THEM DONT YOU THINK.TD Bank are nothing but a bunch if high class thieves in suits and they get away with stealing your money. Plain and simple they should be behind freaking bars with the rest of the criminals."
107,"I can give you zero star if there is option, because TD bank is not able  to safe money of their clients. worst  bank ever seen in my life. I never share any information to anyone, i live alone, i didn't use card at any store and nobody knows that i have td account but still my account number get in hand of any fraud person. So that mean this information leak inside of bank. other thing is that customer care people who is in claim department and helping department are misguiding me and give wrong information. so I recommended everyone that please stay away from this bank, you  should try other bank. if you have lots of money and you don't know where you want to spend, give it to td bank."
108,"Worst place to place your money. My account is being depleted by service fee's, unannounced ""withdrawal"" fee's, and then the supposed account fee. I would definitely be ahead if I ""stuffed"" my money in a mattress. I will be leaving this institution ( which I've been with for 20+ years ) in the very near future"
109,"This Bank doesn't care about customer. I see one of the worse customer service here. If you call customer service, make sure you have 2 hours free time to spend with them. Waiting time may be hour or more."
110,"The worst customer service!For a very simple issue, I called 4 times and wasted 1 hour each time on the phone and at the end they asked me to go to the branch. Most of the branches are closed though...."
111,"Probably the worst online service I have ever experienced when attempting to set up a bank account. 3 different agents, 3 different things said and I still have to go in person to my nearest branch an hour away during COVID. CIBC made this process infinitely easier."
112,"The worst custimer service ever . I am a single mom and was effected by Covid 19. For the past 3 months I called 4-5 times to ask for deferral of interest rates on my credit cards that are closed . I’m just paying them off at the moment. Nobody called me back . Nothing was done . I went to the branch directly and they gave a different number . I called there as well . Nothing!  Nobody calls back and when I speak to somebody they also find an excuse why is taking so long, because it’s a closed account . Another time I called regarding the cash back that I earned . I asked it to be applied towards the balance . They refused and then hang up on me . I cannot imagine how rude and awful customer service . When they need to get as a customer they promise all the stuff . When it’s time for us to get the benefits there will always be an excuse why it cannot be done ."
113,TD Bank is the worst bank a bank with the past three years I've been holding my check for 5 days for no reason even though I get the same deposit from the same company just a bunch of racist ass bank and I'm definitely ending my business with them
114,"Trying to get a mortgage through the bank that I have been with for YEARS, waited for two weeks to hear from Navan Kang the supposed mobile mortgage specialist, didn't hear anything until I told him I wanted a call that day or I would be going elsewhere for my mortgage AND my banking. Still waiting for a call, if I do not get one today TD can say so long to my 10 plus years of patronage. I'm gone getting thrown around and not hearing from the people who have been given the empty title of SENIOR MANAGER. What a joke."
115,I called about an unknown fee coming off my credit card. The man I spoke to told me to “pay off the card in full”. I told him that due to the pandemic I was unable to at the moment. He said “yes while that’s pretty much coming to an end now”. I told him not for those with suppressed immune systems such as myself and he just said okay. I never enjoying dealing with this bank.
116,Terrible bankThis bank doesn’t care about customers.
117,"If i could give ""0"" star i would! Horrible / unreliable bank that i've ever work with. Close my account , with $0 ballance - moved out and 12 years later i got a bill for overdraft $-1080."
118,"I’ve been holding this story for a while now. I needed to renew my $100000 mortgage from Td. I looked up the going rate and made an appointment. Easy , right. When I got to the appointment (I am black), and to my surprise the woman offered me a rate 1:5% higher than the published rate! She told me that if I didn’t sign now it would be higher later. I went to my car called another bank and after checking my credit and assets got a mortgage the same day 1/2% lower than the going rate. Td, my bank for 30 years, didn’t even look at my investments or savings , even after I asked her to check my record with them.Two months later, my (white) best friend, and neighbour, went to Td to renew her mortgage and got an offer immediately 2% less than I was offered. Hmmmmmm!!!"
119,"I ended up being apart of an identity theft issue and my bank account was hacked, over $2000 dollars was taken. This happened in May, it's almost July now and they still haven't fully fixed it. TD doesn't protect your money.At one point they froze my account but the bank was still taking money from my account, THE BANK NOT THE ID THIEVES, and they said I can no longer use e transfer because of it even though I'm the victim. Once this is resolved I'm closing my account. This is ridiculous."
120,"Thiefs, currently going trough process to sue them i opened my bank account online they never adk id or to go to branch then i put money in my account then they told me to go to a branch and wich im never gonna do so ya they robbed me 500$ they wont send my money back by cheque. People need to wake up and boycott td there real thiefs i have all the proof for that!"
121,I have never been on hold so many times for so long they failed to do their job and release a construction loan 14 years ago now it is a nightmare and is causing us to lose a buyer on our house.completely unacceptable completely unprofessional.  we have 5 accounts with them we are pulling all of our accounts. I recommend that everybody stays totally clear from TD bank
122,The td app and even online banking if you make it home to a computer are terrible.  They hardly ever are operational! It's so frustrating to only be able to access your banking info 30% of the time.
123,Bank charging me monthly withdrawal fees on my unlimited withdrawal. Nothing but a rip off from TD.  I could actually save money keeping my money at home
124,"out of all the banks. this one is far behind on their easyweb and app (features), you have to carry your td card everywhere you go very inconvenient there for dropping td to keep my other banks.They also scam you everychance they get. i used my card 5 times over (transactions) and they charged me 75$ for it. Dnt do international transfer id they do theyll charge you so many fees youll lose all of it. no google pay or android pay or samsung pay total useless. better stick with my other banks which they support everything. even desjardins is a better option which is already garbage"
125,This is the absolute worst company I have ever dealt with.  I do not care if it is interest free for 3 years.....I would rather pay 30% interest then to deal with this company.  I have never had an issue paying any debt but this company makes it impossible.  I have called 3 times only to wait on hold for a hour each time to verify my account number is correct.  The account number is drafted one month and the next month it doesn't work....seems like an internal issue.  Instead of calling you to discuss they send you a letter in the mail that comes 3 weeks later (after the due date has past) to inform you the transaction did not go through.  So you get a late fee.....for their error.  This bank is a joke.....Avoid at all cost!
126,THIS BANK BRANCH IS AN ABSOLUTE THEIF! ALL THEY CARE ABOUT IS STEALING OUR MONEY TO MAKE THEMSELVES RICHER. THEY ACTUALLY TOLD ME TODAY THAT A OVERDRAFT FEE WILL BE APPLIED TO A CREDIT SALE IF THERE WAS NOT ENOUGH MONEY IN THE ACCOUNT ON THE DAY THE SALE WAS CHARGED AND THAT IT DOESNT MATTER IF THERE WAS MONEY IN THE ACCOUNT WHEN THE CREDIT SALE CLEARED. IT USUALLY TAKES ABOUT 3 DAYS FOR A CREDIT SALE TO CLEAR AND THEY SAID THEY DONT COUNT THE DATE IT CLEARS THEY CHARGE IT ON THE DAY IT WAS CHARGED! ITS JUTS ANOTHER WAY FOR THEM TO TAKE MONEY FROM US! I SWEAR I AM LEAVING THIS BANK ASAP BECAUSE OF THIS HIDDEN RULE THEY HAVE DECIDED TO SNEAK INTO THERE LAWS. THEY HAVE APPLIED OVER $200 IN OVERDRAFT FEES IN MY ACCOUNT WITHIN TWO WEEKS AND EVERY FEE HAS BEEN THEIR ERRORS. WHEN IS THERE GOING TO BE A BANK THAT HELPS THERE CUSTOERMS AND CARES FOR THEM AS PEOPLE? THEY ALL ONLY CARE ABOUT MAKING THEIR POCKETS BIGGER.
127,"TD has THE WORST customer service, phone wait time, and e.ployee training. they incompetent, rude, morons who do not deserve to continue as a business. a complete joke of a company."
128,"EasyWeb doesn't let you print receipts, just statements. Very behind compared to the other major banks in Canada."
129,"So I have a very old account with TD and my part time job's pay goes into it.Today I went to the branch at McCowan and lawrence wanting to buy a draft.  I am a senior.  Teller told me I have to have a special 60+ account in order to waive the fee.  I said I do not want to open up another account and showed the teller my driver's licence.  He wont accept that except repeating the same like a record.  I asked for the supervisor, same damn answer.  I walked out of there without a draft ($9 is a lot of money for seniors).Damn TD.  Am thinking about closing my account and have nothing to do with them!"
130,I have lived at my address for 4 years and am still getting mail for the previous tenant.I have have returned every single letter stating moved and have called TD so many times and am still receiving their mail.I have spent too much time on this and am disgusted that nothing has been done
131,"I called TD bank customer service to get help over the phone and I stayed on the phone for thirty minutes, finally a lady answered and she was really rude. I told her I wanted my wife to help me answer questions but she said no I will get you a translator but she hang up on me. I will be closing my TD bank account as soon as possible as this is not the first time they have done this to me."
132,ive had nothing but bad experiences with this bank since i started. take your money and business elsewhere.
133,"Do NOT waste your time, money & putting any energy into TD Bank! This is a heartless company with horrible customer service!!"
134,Was making car purchase and got locked out of my account.  Took over 3 hours on hold to get through to anybody all because I made 2 other e transfers. Of course theres going to be more than one e transfer when all you can send at a time is $3000. Horrible experience. I had to use western union and cost me extra $108. TD should be paying me back that $108 but all they like to do is take your money not give you money....as everyone already knows.
135,"I have been with TD Bank for years...no big problems until now. I deposited a $3800 commission check by mobile deposit. They have put a hold on it until the 15th. I haven't had a paycheck in 2 months and this is putting me in a bad position. I called the bank the check is drawn on and the manager said the money is there and no reason for this. I think the reason is that TD bank, having less deposits now, is going to draw interest on my money and a lot of other people. Thanks to this pandemic I have lost a business, I have not received ANY help from the government including my stimulus check and now this bank is holding the only money I have! STAY AWAY!"
136,Do not ever take an auto loan at TD Bank. After five years of automatic payments they claim they sent me a letter saying my last payment had to be made a different way. I decided to trade the vehicle for a newer model and realized I did not have the title. Called TD and talked to a real jerk who said I was late making payment. Lived at the same address and same telephone for about forty years and never once did I hear from anybody from TD Bank. Not only did I have to make late payment but they crucified my credit report. I wonder how many others this happened to. Maybe it is a scam
137,"TD Bank canada  wont listen and will not admit they are ever wrong they  rude, arrogant and incompetent, they are  the worst of the worst, They have frozen my accounts 3 times now in the past 6 months with no notification, the latest freeze on my bank accounts was  because they say its suspicious I was transferring $30 between 2 of my TD accounts, they also  refused to renew credit cards even though the cards were below the limit and not behind in any payments,Customer service is disgusting and argue with the customer, blatantly lie and just disconnect the customer when they are losing the issue, Even the branch managers are arrogant and fail to respond to high level complaints, I have now cancelled my accounts with TD Canada,along with at least 15 other customers I know of personally,  If I could give zero or minus stars on my review I would,"
138,"This one star is basically a consolation prize for TD because i know, that NO human being, in their right mind, would give this bank a good rating. I had 480$ withdrawn from my account by some fraudulent source, when i reported it to TD, they ""invesitgated"" the charge for a month, before dismissing it and refusing to pay back the money. So i withdrew the full balance of my chequing account, plus overdrew the account by 480$ ( the money they rightfully owe me ) and told them i would not be paying back the overdraft, as they had basically stolen that money and as my bank it was THEIR responsibility to keep the money safe. I am now in a legal battle with TD because they are trying to sue me to get back the 480 i took from them. Do not bank with TD, they are not here for you, they are here to get YOUR MONEY, into THEIR POCKETS."
139,"If I could give TD Bank a lower score than 1 I would this branch is absolutely horrible.poor customer service. So they locked my account on Friday and the bank is closed all weekend due to COVID-19 there was no advanced notice of this my account just got frozen.  Then I call Customer service and the TD Customer service won't tell me  anything or give me any information and just tell me to call 1-855-210-8310 they would not even tell you what that department is and just hung up on me multiple times!  I call that number it is closed until the Monday.  I left 3 voice mail messages at that number with no response.  My account was locked I had money in my bank account with no access to it the account was frozen. The Toronto Dominion bank is horrible and provide horrible customer service.  I later came to find out that the number they were telling me to call 1-855-210-8310 is the Toronto Dominion Bank ""De-marketing department"" if they want to drop you as a customer they lock your account with no cause and demand that you call this department. If you get a phone call from this number don't answer or if TD tells you to call this number don't do it and just call a lawyer!  TD Bank are pure scumbags!  I closed my account with these clowns and will never go back!"
140,I find it appalling during this time with covid that they have reduced their hours.  So now many many many people have to stand in line and wait!  And they do nothing for the people that are still working through this and are unable to get to the bank during their miserly open times.  Been a customer for 40 years but time to find a new bank!!
141,"Honestly, the services at TD are pretty good. We love their no-fee credit card, their flat monthly fee, and their very friendly tellers. HOWEVER; the whole reason I felt the need to write this review is because of what I have seen happen to people close to me, and how utterly appalling I think it is.The majority of frauds and scams are (or at least used to be) based on checks. People will deposit these checks at TD bank, send some of the money back to the scammer, and supposedly keep the rest. These can be in the amounts of hundreds all the way up to millions and most people CANNOT absorb this loss. TD will tell you after the fact that the check did not clear and the money never existed.WHY on earth are they putting money in your account (the amount on the check) and allowing people to withdraw or spend it when it was never real and never belonged to the person in question?? People trust their banks and I can't tell you how big the sense of betrayal is when they are suddenly demanding the person ""return the money to them,"" all while blaming the victims 100% no matter how they were defrauded, and sitting there with a lawyer who is telling you what will happen if you don't pay them back.I fear this issue is deep and far reaching in the financial industry. But until TD starts taking responsibility for THEIR contribution to fraud; giving people money that isn't real. There is no reason whatsoever to do this. Simply wait until the money is confirmed. The second way they contribute to fraud is when someone is fraudulently taking money from your account, doing it without permission, etc, YOU, the customer are told you need to pay a regular monthly fee for each person/corporation you want to block from charging your account. How can they tell people, when they are the ones being paid to protect and securely store your money, that we must pay every month to stop someone from stealing that money, for as long as they are trying to do it? Once again, all the responsibility is put on someone else for something that is a part of their job. if TD fixed these issues I would be giving at least a 4 star rating, but it hurts my heart that anyone would go to such lengths to avoid accountability and cause further harm to victims of crime."
142,I could give them ZERO stars if I could. By far the WORST bank / customer service EVER. Their representatives have horrible customer service!!!!!!!!! TD is suppose to be a big branch name - the workers do not know or understand their own policies. Took over 6 months to resolve an issue that still isn’t resolved. Management doesn’t even call customers back AT ALL when they say they will.  I have been a loyal customer for more then 25 years. Time to find a different bank. Credit card expired. Waited weeks/months. Card expired. And still didn’t receive it. Because of covid I have lost hours at work and rely on my credit card and unfortunately did not have a credit card for weeks. How does TD except people to live. They don’t care about their customers at all!!! Nor do they take any responsibility for anything. HORRIBLE customer service!!!!
143,"Extremely bad customer service. No manners, asking tens of unnecessary and irrelevant questions when called to resolve an issue."
144,"Ok so I'm cool usually with TD. then they said if i can put over 10k in a savings account, there is an interest of 1.05% monthly. So i go hunt in my other accounts for this... then 2 months later,Without anyyyyyy notice, there is no interest rate. I waited till followin month, still nothin so I call. They say oh yeah, interest rate dropped to p0.1 like 3 month ago. Im like but i didn't get any notice to move my money elsewhere, they say.. the only way you will know is ny checking that you did not receive the interest at the end of the month. They're so unbelievably disrespectful, i was shocked that no notice was sent. It's my money."
145,"They need to add ""Zero Stars"" because one out of five is way too much. Dave McAdams is possibly one of the most cruel and evil persons on the planet.  Google this Devil  and see how many lives he has destroyed by his timing.He would make Stalin proud and the devil seem tame. A vampire eating flesh is Dave McAdams hurting people in the middle of Covid-19.Never Bank with TD. If you do close your accounts yesterday or pay the price. Banked with them over 10 years. Horrible I regret leaving sooner and everyone I know feels the same!"
146,"What a joke. If you have a small business and are thinking of opening an account then think again. HORRIBLE “service” and “policies”. My business just started operating after 2 months due to covid. I have insurance & vehicle payments etc coming out and now that customers are starting to send out cheques they won’t release our money. I have a cheque from the art gallery of Ontario but they couldn’t release ANY of the funds. I’ve had nothing but problems, never bounced a cheque and still I’m treated like I’m giving them a bad cheque. The Art gallery of Ontario doesn’t bounce $6000.00 cheque’s. I’ll be closing my account and going to CIBC where they understand how to maintain a customer relationship. -100/10. Horrible. Thanks for “helping” me through these times. 👋"
147,"I get it, COVID-19 has been difficult for everyone and most organizations. I expect longer than average wait times, a lower level of customer service and general inconvenience, but the absolutely terrible level of customer service provided by TD over the last few months is, and continues to be, just awful.  Unfortunately, it seems to be getting worse, and no one there seems to care in the least.  My personal and professional accounts are tied to this bank so I am all too familiar with excessively long hold times (only to be disconnected, numerous times), multiple requests to have a standard form filled out, only to have it filled out incorrectly when it was completed (resulting in our annual audit being delayed), company credit cards arriving with names spelled incorrectly (after an almost four month wait when I was told it would take two weeks) and a new virtual check in that no one bothered to explain to those of us lined-up outside for a half hour before opening.  I have been unable to get tax documents since February becausee people ""are working from home"" and when you ask to speak to manager they don't seem to care and direct you to their phone lines which, inevitably, disconnect you--sometimes after holding for 40 minutes.  Again, I understand we are in unusual times, but TD has to get it together like other banks seem to have done."
148,"The customer service line makes you jump through so many hoops just to get put on hold and wait for a real person to talk to. I called three times this morning and got immediately disconnected by the first ""real person"", transferred by the second real person to an office that was not open. The third time I was on hold for 40 minutes only to be answered and disconnected again. All of our local branches are closed due to the pandemic, you would think they would step up their customer service. It could not have been worse, I do not recommend this bank."
149,This bank has been a nightmare I’ve been on hold for an hour deal with some banking issues and when they even answer they give me the worse attitude and now that I closed my bank account with them there supposed to send me a check with my remaining balance and still haven’t received it and I just called and they told me it’s still not in the process I could not believe it even knowing the crisis we are going through right now they don’t even care and I’ve been on hold I went to talk to them and I even been waiting and there still not doing there part I wanted to leave this review to let everyone know not to bank with them they definitely don’t care about there customers and it’s sad I would just to happen to prevent this to happening to anyone else.
150,"Customer service by phone has really declined. It took 4 phone calls and almost 2 hours just to activate my daughter’s youth account. A task that should have been without complication turned into being disconnected, on hold for over 30 minutes, rude representatives and at the end? They attached the debit card to the wrong account. They took no accountability. I’ve banked with TD for many years and not a happy customer after this experience."
151,"WISH I COULD GIVE IT ZERO STARS. HORRIBLE CUSTOMER SERVICE. IT IS UNBELIEVABLE THAT IN THE MIDDLE OF A PANDEMIC IT IS NEARLY IMPOSSIBLE TO REACH ANYONE. MY CARDS ARE FROZEN AND I AM UNABLE TO PURCHASE ABSOLUTELY ANYTHING AND CANT UNFREEZE BECAUSE THEY ARE COMPLETELY UNABLE TO ANSWER THE DAMN PHONE. THE WORST PART IS THAT THEY USE THE PANDEMIC AS AN EXCUSE!!!!!!!!! IN A PANDEMIC YOU WOULD THINK ANY SMART COMPANY WOULD SHIFT THEIR FOCUS OVER TO IMPROVE THEIR REMOTE OPERATIONS... NOT TD!! THEY DESERVE TO LOSE ALL THEIR CUSTOMERS BECAUSE THEY DON'T CARE ABOUT THEM ANYWAYS. NOTHING BUT HATE AND DISAPPOINTMENT FOR THIS STUPID BANK. ""20 minute wait time"" IT HAS BEEN A WHOLE WEEK AND I CANT REACH ANYONE. SO FRUSTRATING"
152,Worst bank. Can’t get in contact with anyone. I have been trying to call them for days and after few minutes to an hour of waiting they HANG UP. I called them in April about fraudulent charge that they in the end dismissed the charge and didn’t reward the money back to the account. What they didn’t say is they were going to FREEZE ALL of my funds without any notice during a PANDEMIC. It’s been a week now that they have said it will be unfrozen and I still can’t even pay for groceries. And they won’t pick up. This is disgusting.
153,I'm so thrilled one of the richest banks in North America is still compounding the interest on my mortgage during a pandemic. It's not as if the interest they were going to earn on the term is changing... It's just being delayed. Morally repugnant.
154,"They locked my debit/credit card for absolute no reason and told me that my card *may* have been frauded. I found out when I was about to pay for my week’s groceries. I checked online and I was able to log in fine and my financial statement showed it was all fine and i did not see any strange transactions that when out from the account. They told me to call their lost and prevention when it’s already been wasting my time ridiculously. So I called lost prevention, it took me almost 2 total days to reach to someone to talk to. Meaning me and my kids were just ordering food waiting for these slow guys to respond. Do not work with TD its absolute horse business.0"
